query_name,query_family,optimizer_name,inference_time_ms,actual_latency_ms,end_to_end_time_ms,estimated_cost,plan_json_hash,split_name,training_time_s
18a.sql,18,PostgreSQL_GEQO(t=2),0.01166702713817358,10902.326,10902.337667027137,29569.86,-331852531135545094,base_query_split_1,2.7458008844405413e-05
18a.sql,18,XGBoostLQO,138.6894159950316,9858.437,9997.126415995031,31617.68,567836333375177551,base_query_split_1,4.227137335983571
18c.sql,18,PostgreSQL_Default,0.000625033862888813,12485.428,12485.428625033863,26815.04,-1214244668508146219,base_query_split_1,4.416971933096647e-06
18c.sql,18,PostgreSQL_GEQO(t=2),0.012375006917864084,9509.16,9509.172375006918,26805.98,6366703848947655732,base_query_split_1,2.7458008844405413e-05
18c.sql,18,XGBoostLQO,201.39100000960752,10916.355,11117.746000009607,26815.04,-3867798907788436210,base_query_split_1,4.227137335983571
18b.sql,18,PostgreSQL_Default,0.0006659538485109806,78.151,78.15166595384851,16948.68,-8750493464548000337,base_query_split_1,4.416971933096647e-06
18b.sql,18,PostgreSQL_GEQO(t=2),0.007915950845927,77.244,77.25191595084593,16947.71,3814277906761996080,base_query_split_1,2.7458008844405413e-05
18b.sql,18,XGBoostLQO,148.02116702776402,77.3,225.32116702776403,16948.68,8520847563211206139,base_query_split_1,4.227137335983571
27a.sql,27,PostgreSQL_Default,0.000500003807246685,16.859,16.85950000380725,3865.29,-3032145793763495073,base_query_split_1,4.416971933096647e-06
27a.sql,27,PostgreSQL_GEQO(t=2),0.0006660120561718941,12.347,12.347666012056171,3865.29,-5217593454680672135,base_query_split_1,2.7458008844405413e-05
27a.sql,27,XGBoostLQO,83.82433297811076,18.626,102.45033297811077,3865.29,-8727902559441656683,base_query_split_1,4.227137335983571
27b.sql,27,PostgreSQL_Default,0.0002500019036233425,8.147,8.147250001903624,2663.44,-7228950311593615510,base_query_split_1,4.416971933096647e-06
27b.sql,27,PostgreSQL_GEQO(t=2),0.0014579854905605316,7.842,7.84345798549056,2663.44,-1562335944888312531,base_query_split_1,2.7458008844405413e-05
27b.sql,27,XGBoostLQO,75.25620795786381,7.475,82.7312079578638,2663.44,622853904340445839,base_query_split_1,4.227137335983571
27c.sql,27,PostgreSQL_Default,0.00033300602808594704,28.294,28.294333006028086,3866.65,-1793792414442916848,base_query_split_1,4.416971933096647e-06
27c.sql,27,PostgreSQL_GEQO(t=2),0.0007500057108700275,28.149,28.14975000571087,3866.65,-7648632877945283250,base_query_split_1,2.7458008844405413e-05
27c.sql,27,XGBoostLQO,67.10366596234962,29.519,96.62266596234963,3866.65,3499698610043480586,base_query_split_1,4.227137335983571
29c.sql,29,PostgreSQL_Default,0.00041601015254855156,0.075,0.07541601015254855,3897.21,-8732602191002321696,base_query_split_1,4.416971933096647e-06
29c.sql,29,PostgreSQL_GEQO(t=2),0.0009579816833138466,0.069,0.06995798168331385,3897.21,-3607682043923424279,base_query_split_1,2.7458008844405413e-05
